Year,Semester,Course_Number,English_Name,Section,Lecturer_Name,Lecturer_ID,Department,Day,Time,Room,Room_ID,Registered_Students,Room_Capacity,Online,Start_Time,End_Time,islab,Department_ID,Credit Hours
2022-2023,First Semester,14330,artificial intelligence,2,Dr. Tariq Bdair,49,Data Science,Sun Tue Thu,12:00-13:00,207,5,41,52,no,12:00,13:00,False,14,3
2022-2023,First Semester,14331,artificial intelligence lab,2,Dr. Tariq Bdair,49,Data Science,Tue,15:00-18:00,it103,17,21,40,no,15:00,18:00,True,14,1
2022-2023,First Semester,14331,artificial intelligence lab,3,Dr. Bushra Alhijawi,48,Data Science,Mon,15:00-18:00,it103,17,14,40,no,15:00,18:00,True,14,1
2022-2023,First Semester,14331,artificial intelligence lab,4,Dr. Tariq Bdair,49,Data Science,Wed,15:00-18:00,it103,17,20,40,no,15:00,18:00,True,14,1
2022-2023,First Semester,14350,computer architecture for machine learning,1,Dr. Serin Atiani,30,Data Science,Mon Wed,13:30-15:00,207,5,32,52,no,13:30,15:00,False,14,3
2022-2023,First Semester,14362,high performance computing for big data,1,Dr. Abdullah Aref,17,Data Science,Sun Tue Thu,14:00-15:00,it107,20,29,44,no,14:00,15:00,False,14,3
2022-2023,First Semester,14364,data visualization,1,Dr. Osama Abdel Hay,50,Data Science,Sun Tue Thu,10:00-11:00,206,18,31,46,no,10:00,11:00,False,14,3
2022-2023,First Semester,14452,pattern recognition,1,Dr. Ahmad Alzghoul,21,Data Science,Wed,10:30-12:00,208,15,18,46,blended,10:30,12:00,False,14,3
2022-2023,First Semester,14452,pattern recognition,2,Dr. Tariq Bdair,49,Data Science,Wed,13:30-15:00,208,15,29,46,blended,13:30,15:00,False,14,3
2022-2023,First Semester,14455,information retrieval,1,Prof. Moh'D Azzeh,51,Data Science,Sun Tue Thu,12:00-13:00,it303,14,39,44,no,12:00,13:00,False,14,3
2022-2023,First Semester,14465,data mining,1,Dr. Nailah Almadi,29,Data Science,Sun Tue Thu,10:00-11:00,206,18,30,46,blended,10:00,11:00,False,14,3
2022-2023,First Semester,14465,data mining,2,Dr. Nailah Almadi,29,Data Science,Mon Wed,10:30-12:00,206,18,21,46,blended,10:30,12:00,False,14,3
2022-2023,First Semester,14466,business intelligence,1,Dr. Mohammad Abdel Rahman,52,Data Science,Sun Tue,11:00-12:00,207,5,33,52,no,11:00,12:00,False,14,3
2022-2023,First Semester,14466,business intelligence,3,Dr. Mohammad Abdel Rahman,52,Data Science,Wed,15:00-16:30,207,5,13,52,no,15:00,16:30,False,14,3
2022-2023,First Semester,14467,cloud computing,1,Gaith Rjoub,32,Data Science,Sun Tue,14:00-15:00,207,5,38,52,blended,14:00,15:00,False,14,3
2022-2023,First Semester,15110,cybersecurity fundamentals,1,Qasem Abu Al-Haija',53,Cyber Security,Wed,10:30-12:00,202,7,18,60,blended,10:30,12:00,False,15,3
